,Team,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Date
['Javier LópezP'],San Francisco Giants,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,10/28/2010
['Mike FontenotPH'],San Francisco Giants,0,0,0,0,0,0,0,.214,.267,.357,.624,,,,,,,,,,,,,10/28/2010
['Aaron RowandPH'],San Francisco Giants,1,1,1,2,0,0,1,.375,.375,.750,1.125,4,2,0.001,0.02,0.001,0.000,0.04%,1.06,1.9,,,3B,10/28/2010
['Guillermo MotaP'],San Francisco Giants,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,10/28/2010
Team Totals,San Francisco Giants,32,9,8,9,6,9,38,.250,.368,.469,.837,167,98,-0.017,0.67,0.443,-0.460,-0.49%,35.77,5.2,27,7,,10/28/2010
['Gregor BlancoRF'],San Francisco Giants,4,0,1,0,2,2,6,.252,.340,.372,.712,32,17,0.062,1.33,0.153,-0.091%,0.06%,2.13,0.4,3,0,,7/14/2012
['Ryan Theriot2B'],San Francisco Giants,6,0,1,0,0,0,6,.274,.314,.320,.633,19,15,-0.152,1.54,0.053,-0.205%,-0.15%,2.46,-1.6,1,2,GDP,7/14/2012
['Melky CabreraLF'],San Francisco Giants,5,0,2,1,1,0,6,.353,.391,.514,.906,22,12,0.095,1.69,0.175,-0.080%,0.09%,2.70,0.7,3,0,IW,7/14/2012
['Buster Posey1B'],San Francisco Giants,2,0,1,0,2,0,4,.290,.366,.466,.832,19,9,0.014,0.93,0.061,-0.047%,0.01%,1.49,0.3,5,0,,7/14/2012
['Brandon BeltPR-1B'],San Francisco Giants,2,0,0,0,0,1,2,.253,.358,.412,.770,7,5,-0.160,3.19,0.000,-0.160%,-0.15%,5.10,-0.6,6,1,,7/14/2012
['Pablo Sandoval3B'],San Francisco Giants,5,1,2,0,1,1,6,.308,.364,.502,.866,31,19,0.027,1.48,0.143,-0.116%,0.03%,2.36,0.4,0,3,,7/14/2012
['Angel PaganCF'],San Francisco Giants,6,1,2,0,0,2,6,.288,.332,.411,.743,24,17,0.035,1.53,0.164,-0.129%,0.03%,2.45,-0.0,2,0,2B,7/14/2012
['Hector SanchezC'],San Francisco Giants,6,0,4,2,0,0,6,.278,.282,.381,.663,20,13,0.289,1.43,0.322,-0.033%,0.28%,2.28,1.7,14,0,2B,7/14/2012
['Brandon CrawfordSS'],San Francisco Giants,5,0,0,0,0,0,5,.236,.282,.328,.610,22,15,-0.170,1.21,0.000,-0.170%,-0.16%,1.94,-1.5,1,1,,7/14/2012
['Brad PennyP'],San Francisco Giants,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/14/2012
['Jeremy AffeldtP'],San Francisco Giants,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,1,0,,7/14/2012
['Tim LincecumP'],San Francisco Giants,2,1,0,0,1,2,3,.120,.214,.120,.334,15,9,0.007,0.93,0.048,-0.041%,0.01%,1.49,-0.2,0,4,,7/14/2012
['Nate SchierholtzPH'],San Francisco Giants,1,0,0,0,0,1,1,.250,.311,.404,.716,5,3,-0.002,0.09,0.000,-0.002%,-0.00%,0.14,-0.1,,,,7/14/2012
['Santiago CasillaP'],San Francisco Giants,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,7/14/2012
['Javier LopezP'],San Francisco Giants,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/14/2012
['Sergio RomoP'],San Francisco Giants,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/14/2012
['Joaquin AriasSS'],San Francisco Giants,1,0,0,0,0,0,1,.244,.284,.324,.608,6,3,-0.052,2.17,0.000,-0.052%,-0.05%,3.47,-0.2,0,0,,7/14/2012
Team Totals,San Francisco Giants,45,3,13,3,7,9,52,.289,.385,.333,.718,222,137,-0.007,1.45,1.119,-1.126%,-0.01%,2.31,-0.7,36,11,,7/14/2012
['Everth CabreraSS'],San Diego Padres,3,0,1,0,1,0,4,.243,.323,.327,.650,12,5,-0.021,0.86,0.070,-0.092%,0%,0.01,-0.2,0,4,"SB,CS",9/11/2012
['Will VenableRF'],San Diego Padres,4,1,0,0,0,2,4,.260,.336,.437,.773,19,12,-0.014,0.65,0.032,-0.046%,0%,0.01,-0.4,3,0,,9/11/2012
['Luke GregersonP'],San Diego Padres,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,1,,9/11/2012
['Chase Headley3B'],San Diego Padres,4,1,1,0,0,2,4,.282,.367,.483,.850,15,9,0.009,0.77,0.050,-0.041%,0%,0.01,-0.1,1,0,,9/11/2012
['Yasmani GrandalC'],San Diego Padres,4,1,2,0,0,2,4,.271,.376,.479,.854,13,10,0.067,1.15,0.102,-0.036%,0%,0.01,0.6,9,1,,9/11/2012
['Yonder Alonso1B'],San Diego Padres,1,1,1,1,3,0,4,.269,.346,.384,.730,20,7,0.206,1.39,0.206,0.000%,0.00%,0.01,2.2,8,0,2B,9/11/2012
['Logan Forsythe2B'],San Diego Padres,4,1,1,2,0,0,4,.288,.361,.404,.765,11,9,0.135,1.67,0.231,-0.096%,0.00%,0.01,0.5,1,1,"2B,GDP",9/11/2012
['Cameron MaybinCF'],San Diego Padres,4,1,1,1,0,1,4,.245,.311,.347,.658,10,6,-0.056,1.08,0.066,-0.122%,0%,0.01,-0.6,2,0,,9/11/2012
['Alexi AmaristaLF'],San Diego Padres,4,0,1,2,0,0,4,.257,.296,.411,.707,13,10,0.129,0.88,0.176,-0.047%,0.00%,0.01,1.1,2,0,3B,9/11/2012
['Edinson VolquezP'],San Diego Padres,2,0,0,0,0,2,2,.078,.096,.098,.194,8,7,-0.027,0.52,0.000,-0.027%,0%,0.01,-0.4,0,1,,9/11/2012
['Joe ThatcherP'],San Diego Padres,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,9/11/2012
['Brad BrachP'],San Diego Padres,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,9/11/2012
['Jesus GuzmanPH'],San Diego Padres,1,0,0,0,0,1,1,.253,.319,.410,.728,6,4,-0.016,0.67,0.000,-0.016%,0%,0.01,-0.2,,,,9/11/2012
['Tommy LayneP'],San Diego Padres,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,9/11/2012
['Chris DenorfiaRF'],San Diego Padres,0,0,0,0,0,0,0,.303,.360,.467,.826,,,,,,,,,,1,0,,9/11/2012
Team Totals,San Diego Padres,31,6,8,6,4,10,35,.258,.343,.387,.730,127,79,0.412,1.01,0.933,-0.523%,0.00%,0.01,2.5,27,8,,9/11/2012
['Ángel PagánCF'],San Francisco Giants,5,0,1,0,0,1,5,.160,.214,.320,.534,20,16,-0.090,1.02,0.026,-0.116,-1.47%,26.61,-0.8,2,,,10/14/2012
['Marco Scutaro2B'],San Francisco Giants,5,1,2,0,0,1,5,.200,.259,.240,.499,16,13,-0.018,0.99,0.069,-0.087,-0.27%,25.83,0.2,1,2,,10/14/2012
['Pablo Sandoval3B'],San Francisco Giants,3,0,0,0,1,2,4,.292,.308,.500,.808,19,13,-0.051,1.04,0.012,-0.063,-0.90%,27.13,-0.5,,1,,10/14/2012
['Buster PoseyC'],San Francisco Giants,3,0,0,0,1,1,4,.182,.308,.455,.762,19,10,-0.011,0.88,0.034,-0.044,-0.12%,23.00,-0.3,8,,,10/14/2012
['Hunter PenceRF'],San Francisco Giants,4,1,1,0,0,0,4,.208,.208,.208,.417,15,9,-0.116,1.42,0.009,-0.124,-1.96%,37.19,-0.6,2,,,10/14/2012
['Brandon Belt1B'],San Francisco Giants,4,1,1,1,0,0,4,.118,.211,.118,.328,6,5,-0.068,1.14,0.029,-0.097,-1.15%,29.80,0.3,7,1,,10/14/2012
['Grégor BlancoLF'],San Francisco Giants,4,1,1,2,0,0,4,.278,.350,.611,.961,18,12,0.043,0.79,0.099,-0.055,0.74%,20.52,1.5,5,,3B,10/14/2012
['Brandon CrawfordSS'],San Francisco Giants,4,0,1,1,0,1,4,.200,.333,.400,.733,23,16,0.006,1.18,0.090,-0.085,0.11%,30.91,0.4,1,5,2B,10/14/2012
['Madison BumgarnerP'],San Francisco Giants,1,0,0,0,0,1,1,.000,.000,.000,.000,5,3,-0.017,0.70,0.000,-0.017,-0.28%,18.30,-0.1,,,,10/14/2012
['George KontosP'],San Francisco Giants,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,10/14/2012
['Aubrey HuffPH'],San Francisco Giants,0,0,0,0,1,0,1,.000,.250,.000,.250,5,1,0.015,1.40,0.015,0.000,0.25%,36.60,0.1,,,,10/14/2012
['Tim LincecumP'],San Francisco Giants,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,1,,,10/14/2012
['Ryan TheriotPH'],San Francisco Giants,0,0,0,0,1,0,1,.000,.333,.000,.333,5,1,0.019,0.53,0.019,0.000,0.32%,13.86,0.1,,,,10/14/2012
['Jeremy AffeldtP'],San Francisco Giants,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,10/14/2012
['Santiago CasillaP'],San Francisco Giants,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,10/14/2012
['Jose MijaresP'],San Francisco Giants,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,10/14/2012
['Héctor SánchezPH'],San Francisco Giants,1,0,0,0,0,0,1,.333,.600,.333,.933,6,4,-0.024,1.00,0.000,-0.024,-0.40%,26.14,-0.1,,,,10/14/2012
Team Totals,San Francisco Giants,34,4,7,4,4,7,38,.206,.289,.294,.584,157,103,-0.312,1.04,0.402,-0.712,-5.13%,27.14,0.2,27,9,,10/14/2012
['Carl CrawfordLF'],Los Angeles Dodgers,4,0,1,0,0,2,4,.301,.361,.454,.815,14,10,-0.038,0.68,0.037,-0.075%,-0.01%,0.34,-0.7,2,0,CS,5/24/2013
['Mark Ellis2B'],Los Angeles Dodgers,3,0,0,0,0,2,3,.311,.330,.400,.730,12,9,-0.059,0.86,0.000,-0.059%,-0.02%,0.44,-0.7,0,2,,5/24/2013
['J.P. HowellP'],Los Angeles Dodgers,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,1,,5/24/2013
['Paco RodriguezP'],Los Angeles Dodgers,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,5/24/2013
['Scott Van SlykePH'],Los Angeles Dodgers,1,0,0,0,0,0,1,.286,.348,.810,1.157,6,4,0.000,0.00,0.000,0.000%,0%,0.00,-0.1,,,,5/24/2013
['Adrian Gonzalez1B'],Los Angeles Dodgers,3,0,0,0,0,0,3,.303,.357,.434,.791,10,7,-0.026,0.36,0.000,-0.026%,-0.01%,0.18,-0.4,13,0,,5/24/2013
['Matt KempCF'],Los Angeles Dodgers,3,0,0,0,0,2,3,.266,.314,.350,.665,13,7,-0.034,0.46,0.000,-0.034%,-0.01%,0.23,-0.4,0,0,,5/24/2013
['Andre EthierRF'],Los Angeles Dodgers,3,0,0,0,0,0,3,.258,.347,.397,.744,9,6,-0.033,0.46,0.000,-0.033%,-0.01%,0.23,-0.4,4,0,,5/24/2013
['A.J. EllisC'],Los Angeles Dodgers,3,0,0,0,0,2,3,.271,.373,.388,.761,12,9,-0.022,0.31,0.000,-0.022%,-0.01%,0.16,-0.4,7,0,,5/24/2013
['Nick PuntoSS'],Los Angeles Dodgers,2,0,0,0,0,1,2,.323,.411,.396,.807,12,9,-0.027,0.55,0.000,-0.027%,-0.01%,0.28,-0.3,0,4,,5/24/2013
['Matt GuerrierP'],Los Angeles Dodgers,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,5/24/2013
['Skip Schumaker2B'],Los Angeles Dodgers,1,0,1,0,0,0,1,.222,.323,.284,.607,3,2,0.002,0.04,0.002,0.000%,0.00%,0.02,0.2,0,2,,5/24/2013
['Juan Uribe3B'],Los Angeles Dodgers,2,0,1,0,1,0,3,.236,.364,.333,.697,11,5,0.049,0.30,0.051,-0.002%,0.01%,0.15,0.3,1,2,"2B,GDP",5/24/2013
['Chris CapuanoP'],Los Angeles Dodgers,1,0,0,0,0,1,1,.000,.000,.000,.000,3,3,-0.034,1.26,0.000,-0.034%,-0.01%,0.63,-0.3,0,0,,5/24/2013
['Dee Strange-GordonSS'],Los Angeles Dodgers,2,0,0,0,0,1,2,.161,.266,.250,.516,8,5,-0.011,0.25,0.000,-0.011%,-0.00%,0.12,-0.5,0,0,,5/24/2013
Team Totals,Los Angeles Dodgers,28,0,3,0,1,11,29,.107,.138,.143,.281,113,76,-0.233,0.48,0.090,-0.323%,-0.07%,0.24,-3.8,27,11,,5/24/2013
['Andres TorresCF'],San Francisco Giants,4,0,1,0,0,0,4,.250,.302,.342,.644,21,13,-0.040,0.64,0.037,-0.077%,0%,0.00,-0.7,2,0,CS,8/21/2013
['Marco Scutaro2B'],San Francisco Giants,3,0,0,0,1,0,4,.297,.355,.368,.723,12,7,0.013,0.27,0.024,-0.011%,0%,0.00,-0.2,3,2,,8/21/2013
['Brandon Belt1B'],San Francisco Giants,4,0,0,0,0,1,4,.273,.349,.479,.828,15,8,-0.040,0.44,0.000,-0.040%,0%,0.00,-0.7,10,0,,8/21/2013
['Buster PoseyC'],San Francisco Giants,3,0,1,0,0,0,3,.303,.374,.480,.854,9,6,-0.027,0.37,0.001,-0.028%,0%,0.00,0.0,7,1,,8/21/2013
['Hector SanchezC'],San Francisco Giants,1,0,0,0,0,0,1,.237,.328,.356,.684,1,1,0.000,0.00,0.000,0.000%,0%,0.00,-0.1,1,0,,8/21/2013
['Hunter PenceRF'],San Francisco Giants,3,0,0,0,0,2,3,.278,.323,.452,.775,12,7,-0.028,0.38,0.000,-0.028%,0%,0.00,-1.0,2,0,GDP,8/21/2013
['Joaquin Arias3B'],San Francisco Giants,3,1,2,1,0,0,3,.288,.306,.368,.674,9,5,0.133,0.36,0.133,0.000%,0%,0.00,1.3,0,4,HR,8/21/2013
['Roger KieschnickLF'],San Francisco Giants,3,0,0,0,0,0,3,.268,.349,.304,.653,17,10,-0.035,0.51,0.000,-0.035%,0%,0.00,-0.7,2,0,,8/21/2013
['Brandon CrawfordSS'],San Francisco Giants,3,0,1,0,0,0,3,.270,.330,.394,.724,14,10,-0.024,0.33,0.000,-0.024%,0%,0.00,-0.1,0,2,,8/21/2013
['Barry ZitoP'],San Francisco Giants,1,0,0,0,0,1,1,.161,.161,.161,.323,5,3,-0.016,0.67,0.000,-0.016%,0%,0.00,-0.2,0,0,,8/21/2013
['Jean MachiP'],San Francisco Giants,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,8/21/2013
['Brett PillPH'],San Francisco Giants,1,0,0,0,0,0,1,.212,.250,.365,.615,1,1,-0.009,0.31,0.000,-0.009%,0%,0.00,-0.2,,,,8/21/2013
['Mike KickhamP'],San Francisco Giants,1,0,0,0,0,0,1,.167,.167,.333,.500,4,3,0.000,0.00,0.000,0.000%,0%,0.00,-0.3,0,2,,8/21/2013
Team Totals,San Francisco Giants,30,1,5,1,1,4,31,.167,.194,.267,.460,120,74,-0.073,0.40,0.195,-0.268%,0.00%,0.00,-2.7,27,11,,8/21/2013
['Yasiel PuigRF'],Los Angeles Dodgers,5,1,4,1,0,0,5,.354,.412,.565,.976,16,11,0.207,0.61,0.207,0.000%,0.04%,0.19,2.2,2,0,"2B,2·SB",8/30/2013
['Carl CrawfordLF'],Los Angeles Dodgers,4,1,0,0,1,1,5,.282,.334,.400,.734,26,13,-0.009,0.62,0.033,-0.042%,-0.00%,0.19,-0.0,3,0,,8/30/2013
['Hanley RamirezSS'],Los Angeles Dodgers,4,2,2,2,0,0,4,.346,.393,.634,1.027,13,11,0.020,0.85,0.081,-0.061%,0.00%,0.26,1.5,0,2,2·2B,8/30/2013
['Nick PuntoPH-SS'],Los Angeles Dodgers,1,0,0,0,0,0,1,.250,.327,.325,.653,4,3,0.000,0.00,0.000,0.000%,0%,0.00,-0.1,0,0,,8/30/2013
['Adrian Gonzalez1B'],Los Angeles Dodgers,4,2,2,4,0,0,4,.293,.339,.465,.804,11,10,0.079,0.85,0.128,-0.049%,0.01%,0.26,2.2,7,1,2·HR,8/30/2013
['A.J. EllisC'],Los Angeles Dodgers,4,1,1,1,0,0,4,.246,.332,.361,.694,19,9,-0.053,0.55,0.001,-0.054%,-0.01%,0.17,0.3,7,0,HR,8/30/2013
['Andre EthierCF'],Los Angeles Dodgers,4,0,1,0,0,1,4,.274,.359,.413,.772,11,10,-0.037,0.38,0.000,-0.037%,-0.01%,0.12,-0.2,3,1,,8/30/2013
['Mark Ellis2B'],Los Angeles Dodgers,4,1,2,0,0,0,4,.273,.322,.363,.686,27,17,0.036,0.27,0.041,-0.005%,0.01%,0.09,0.2,3,4,2B,8/30/2013
['Juan Uribe3B'],Los Angeles Dodgers,4,0,0,0,0,1,4,.268,.326,.395,.722,14,11,-0.038,0.52,0.000,-0.038%,-0.01%,0.16,-1.0,1,2,,8/30/2013
['Hyun Jin RyuP'],Los Angeles Dodgers,3,1,1,1,0,0,3,.200,.216,.300,.516,12,7,0.110,0.65,0.125,-0.016%,0.02%,0.20,0.6,1,1,2B,8/30/2013
['Carlos MarmolP'],Los Angeles Dodgers,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,8/30/2013
['Paco RodriguezP'],Los Angeles Dodgers,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,8/30/2013
['Jerry HairstonPH'],Los Angeles Dodgers,1,0,0,0,0,0,1,.230,.290,.305,.595,4,3,0.000,0.00,0.000,0.000%,0%,0.00,-0.2,,,,8/30/2013
['Edinson VolquezP'],Los Angeles Dodgers,0,0,0,0,0,0,0,.118,.143,.235,.378,,,,,,,,,,0,0,,8/30/2013
['Brandon LeagueP'],Los Angeles Dodgers,0,0,0,0,0,0,0,,1.000,,,,,,,,,,,,0,0,,8/30/2013
Team Totals,Los Angeles Dodgers,38,9,13,9,1,3,39,.342,.359,.711,1.070,157,105,0.315,0.56,0.616,-0.302%,0.06%,0.17,5.6,27,11,,8/30/2013
['Dee Strange-Gordon2B'],Los Angeles Dodgers,3,0,1,0,1,1,4,.286,.342,.405,.746,21,11,0.034,0.99,0.088,-0.053%,0.03%,1.52,-0.1,0,2,,6/26/2014
['Yasiel PuigRF'],Los Angeles Dodgers,4,0,0,0,0,2,4,.309,.397,.521,.918,16,11,-0.213,1.63,0.000,-0.213%,-0.20%,2.50,-1.9,1,0,GDP,6/26/2014
['Adrian Gonzalez1B'],Los Angeles Dodgers,3,0,0,0,0,0,3,.251,.320,.447,.767,6,4,-0.081,1.14,0.000,-0.081%,-0.07%,1.75,-0.6,11,0,,6/26/2014
['Matt KempLF'],Los Angeles Dodgers,3,0,0,0,0,1,3,.267,.326,.454,.780,8,5,-0.060,0.80,0.000,-0.060%,-0.06%,1.23,-0.4,2,1,,6/26/2014
['Andre EthierCF'],Los Angeles Dodgers,3,0,0,0,0,0,3,.244,.300,.348,.648,12,7,-0.069,0.95,0.000,-0.069%,-0.06%,1.46,-0.5,3,0,,6/26/2014
['Juan Uribe3B'],Los Angeles Dodgers,3,1,1,0,0,2,3,.303,.331,.452,.783,7,7,0.030,1.08,0.066,-0.035%,0.03%,1.66,0.1,0,2,,6/26/2014
['Drew ButeraC'],Los Angeles Dodgers,2,0,0,0,0,0,3,.207,.280,.306,.586,11,9,-0.039,1.26,0.000,-0.039%,-0.04%,1.92,-0.3,7,2,SH,6/26/2014
['Miguel RojasSS'],Los Angeles Dodgers,3,0,2,0,0,0,3,.268,.286,.293,.578,7,5,0.162,1.47,0.186,-0.024%,0.15%,2.24,1.1,3,3,,6/26/2014
['Josh BeckettP'],Los Angeles Dodgers,2,0,0,0,0,1,2,.133,.133,.133,.267,10,6,-0.065,1.44,0.000,-0.065%,-0.06%,2.21,-0.5,0,2,,6/26/2014
['Brian WilsonP'],Los Angeles Dodgers,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,6/26/2014
['Justin TurnerPH'],Los Angeles Dodgers,1,0,1,1,0,0,1,.297,.354,.424,.778,2,1,0.147,4.41,0.147,0.000%,0.14%,6.75,0.7,,,,6/26/2014
['Kenley JansenP'],Los Angeles Dodgers,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,6/26/2014
Team Totals,Los Angeles Dodgers,27,1,5,1,1,7,29,.185,.214,.185,.399,100,66,-0.154,1.31,0.487,-0.639%,-0.14%,2.01,-2.4,27,12,,6/26/2014
['Coco CrispCF'],Oakland Athletics,5,0,1,1,0,0,5,.291,.383,.451,.834,19,13,0.023,1.40,0.144,-0.121%,0.01%,1.50,-0.3,3,0,,7/5/2014
['Craig GentryLF'],Oakland Athletics,4,0,2,1,0,1,4,.278,.333,.316,.650,11,8,0.087,0.97,0.126,-0.039%,0.06%,1.03,0.8,4,1,,7/5/2014
['Yoenis CéspedesDH'],Oakland Athletics,4,0,0,0,0,0,4,.262,.316,.475,.792,18,11,-0.084,0.86,0.000,-0.084%,-0.05%,0.92,-1.0,,,,7/5/2014
['Josh Donaldson3B'],Oakland Athletics,4,1,1,1,0,1,4,.244,.323,.464,.787,16,10,0.091,0.53,0.133,-0.043%,0.06%,0.57,0.4,2,0,HR,7/5/2014
['Derek NorrisC'],Oakland Athletics,4,0,1,0,0,2,4,.302,.405,.495,.899,17,12,-0.027,0.51,0.014,-0.041%,-0.02%,0.54,-0.2,8,2,,7/5/2014
['Nate Freiman1B'],Oakland Athletics,4,1,1,0,0,1,4,.267,.353,.600,.953,11,9,-0.052,0.67,0.008,-0.060%,-0.03%,0.71,-0.3,6,0,,7/5/2014
['Jed LowrieSS'],Oakland Athletics,4,1,2,1,0,0,4,.220,.313,.329,.641,16,8,0.024,0.55,0.057,-0.032%,0.01%,0.58,1.8,1,4,2B,7/5/2014
['Alberto Callaspo2B'],Oakland Athletics,4,1,2,0,0,0,4,.237,.316,.309,.626,13,9,0.039,0.47,0.051,-0.012%,0.03%,0.50,0.0,2,2,2B,7/5/2014
['Eric Sogard2B'],Oakland Athletics,0,0,0,0,0,0,0,.191,.262,.224,.486,,,,,,,,,,0,0,,7/5/2014
['Stephen VogtRF'],Oakland Athletics,3,1,2,0,1,0,4,.349,.375,.470,.845,15,7,0.051,1.01,0.059,-0.008%,0.03%,1.08,0.1,1,0,,7/5/2014
[''],Oakland Athletics,,,,,,,,,,,,,,,,,,,,,,,,7/5/2014
['Scott KazmirP'],Oakland Athletics,,,,,,,,,,,,,,,,,,,,,0,1,,7/5/2014
['Luke GregersonP'],Oakland Athletics,,,,,,,,,,,,,,,,,,,,,0,0,,7/5/2014
['Fernando AbadP'],Oakland Athletics,,,,,,,,,,,,,,,,,,,,,0,0,,7/5/2014
Team Totals,Oakland Athletics,36,5,12,4,1,5,37,.333,.351,.472,.824,136,87,0.152,0.79,0.592,-0.440%,0.10%,0.84,1.4,27,10,,7/5/2014
['Grady SizemoreCF-LF'],Philadelphia Phillies,4,1,1,0,0,0,4,.217,.287,.323,.610,11,9,-0.004,0.42,0.023,-0.027%,-0.00%,0.12,-0.2,1,0,,7/11/2014
['Jimmy RollinsSS'],Philadelphia Phillies,4,2,2,3,0,0,4,.246,.330,.396,.726,14,8,0.103,0.45,0.121,-0.018%,0.02%,0.13,2.3,1,5,2·HR,7/11/2014
['Chase Utley2B'],Philadelphia Phillies,4,0,2,0,0,0,4,.297,.354,.452,.806,9,6,-0.001,0.19,0.011,-0.012%,0%,0.06,0.3,4,5,,7/11/2014
['Ryan Howard1B'],Philadelphia Phillies,4,0,0,0,0,2,4,.225,.304,.390,.694,16,11,-0.031,0.38,0.000,-0.031%,-0.01%,0.11,-0.8,9,0,,7/11/2014
['Marlon ByrdRF'],Philadelphia Phillies,4,2,2,0,0,2,4,.263,.315,.484,.799,15,9,0.021,0.29,0.033,-0.011%,0.00%,0.09,0.1,2,0,2B,7/11/2014
['Cody Asche3B'],Philadelphia Phillies,4,1,1,0,0,1,4,.250,.308,.402,.710,15,11,0.021,0.47,0.038,-0.017%,0.00%,0.13,-0.4,0,0,,7/11/2014
['Domonic BrownLF'],Philadelphia Phillies,3,0,1,2,1,1,4,.225,.277,.328,.605,15,9,0.180,0.64,0.187,-0.006%,0.03%,0.18,1.6,2,0,2B,7/11/2014
['Tony GwynnCF'],Philadelphia Phillies,0,0,0,0,0,0,0,.165,.283,.206,.489,,,,,,,,,,0,0,,7/11/2014
['Cameron RuppC'],Philadelphia Phillies,3,0,1,1,0,2,3,.200,.200,.314,.514,11,8,-0.010,0.42,0.017,-0.027%,-0.00%,0.12,0.1,8,0,2B,7/11/2014
['A.J. BurnettP'],Philadelphia Phillies,3,0,0,0,0,2,3,.175,.214,.225,.439,10,7,-0.028,0.34,0.000,-0.028%,-0.01%,0.10,-0.6,0,1,,7/11/2014
['Ken GilesP'],Philadelphia Phillies,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/11/2014
Team Totals,Philadelphia Phillies,33,6,10,6,1,10,34,.303,.324,.576,.899,116,78,0.251,0.40,0.430,-0.177%,0.04%,0.12,2.4,27,11,,7/11/2014
['Brett GardnerLF'],New York Yankees,4,1,0,0,1,1,5,.276,.352,.418,.769,23,12,-0.056,1.74,0.079,-0.135%,-0.04%,2.21,-0.4,1,0,,7/20/2014
['Derek JeterSS'],New York Yankees,5,0,1,1,0,1,5,.274,.326,.323,.649,19,12,0.029,2.03,0.196,-0.167%,0.02%,2.59,-0.2,2,3,,7/20/2014
['Jacoby EllsburyCF'],New York Yankees,4,1,4,1,1,0,5,.289,.352,.414,.766,28,16,0.521,1.94,0.521,0.000%,0.40%,2.47,3.0,3,0,"2B,2·SB",7/20/2014
['Mark Teixeira1B'],New York Yankees,5,0,0,0,0,3,5,.231,.330,.443,.773,20,14,-0.278,1.84,0.000,-0.278%,-0.21%,2.34,-2.3,11,2,,7/20/2014
['Brian McCannC'],New York Yankees,5,0,2,1,0,1,5,.242,.294,.377,.672,15,9,0.089,2.00,0.220,-0.131%,0.07%,2.55,-0.4,6,2,,7/20/2014
['Carlos BeltranDH'],New York Yankees,3,0,0,0,1,2,4,.222,.277,.416,.693,26,14,-0.117,1.12,0.007,-0.124%,-0.09%,1.43,-1.0,,,GDP,7/20/2014
['Ichiro SuzukiRF'],New York Yankees,4,0,1,0,0,0,4,.285,.333,.322,.656,12,8,-0.043,0.76,0.022,-0.064%,-0.03%,0.96,-0.4,2,0,,7/20/2014
['Brian Roberts2B'],New York Yankees,4,0,2,0,0,2,4,.245,.307,.374,.682,21,13,-0.008,1.30,0.071,-0.078%,-0.01%,1.65,0.3,2,3,,7/20/2014
['Kelly Johnson3B'],New York Yankees,0,1,0,0,2,0,2,.223,.311,.383,.694,14,6,0.099,1.30,0.099,0.000%,0.08%,1.66,0.8,0,0,,7/20/2014
['Zelous WheelerPH-3B'],New York Yankees,2,0,1,0,0,1,2,.286,.286,.571,.857,13,10,0.008,1.53,0.046,-0.038%,0.01%,1.94,-0.2,0,1,,7/20/2014
[''],New York Yankees,,,,,,,,,,,,,,,,,,,,,,,,7/20/2014
['Hiroki KurodaP'],New York Yankees,,,,,,,,,,,,,,,,,,,,,0,0,,7/20/2014
['Dellin BetancesP'],New York Yankees,,,,,,,,,,,,,,,,,,,,,0,1,,7/20/2014
['David RobertsonP'],New York Yankees,,,,,,,,,,,,,,,,,,,,,0,0,,7/20/2014
Team Totals,New York Yankees,36,3,11,3,5,11,41,.306,.390,.333,.724,191,114,0.244,1.64,1.261,-1.015%,0.19%,2.08,-0.7,27,12,,7/20/2014
